epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2231.31,0.77325,0.42176,0.84926,0.91549,0.91842,0.95978,0.72181,0.79176,0.39756,0.88251,0.000396246,0.000396246,0.000396246
79,2258.1,0.77594,0.42723,0.85162,0.94841,0.93959,0.96048,0.74079,0.77372,0.39829,0.88101,0.000379743,0.000379743,0.000379743
80,2284.56,0.78175,0.42574,0.84865,0.95967,0.9357,0.96263,0.73558,0.77828,0.40641,0.88159,0.000363239,0.000363239,0.000363239
81,2311.08,0.76641,0.41978,0.84384,0.95208,0.91344,0.95654,0.73678,0.78027,0.40334,0.88153,0.000346736,0.000346736,0.000346736
82,2337.91,0.76699,0.42136,0.84907,0.97566,0.90742,0.96287,0.74127,0.78936,0.40444,0.87964,0.000330233,0.000330233,0.000330233
83,2365.03,0.75865,0.41763,0.84975,0.96646,0.89636,0.95803,0.74029,0.78609,0.39964,0.88001,0.000313729,0.000313729,0.000313729
84,2392.86,0.75668,0.41889,0.84675,0.95599,0.90816,0.9606,0.73658,0.81917,0.40238,0.88234,0.000297226,0.000297226,0.000297226
85,2420.51,0.74835,0.41511,0.84557,0.97212,0.89812,0.95906,0.74653,0.77649,0.3917,0.87605,0.000280723,0.000280723,0.000280723
86,2448,0.74674,0.40406,0.84302,0.96307,0.91851,0.95982,0.75446,0.76405,0.37853,0.87006,0.00026422,0.00026422,0.00026422
87,2475.37,0.74724,0.40402,0.8417,0.98272,0.90102,0.9623,0.75357,0.75889,0.39282,0.87524,0.000247716,0.000247716,0.000247716
88,2502.59,0.74269,0.40737,0.83914,0.97492,0.89641,0.9602,0.75324,0.76912,0.40077,0.87395,0.000231213,0.000231213,0.000231213
89,2529.58,0.73292,0.40177,0.84383,0.97618,0.8894,0.95984,0.74666,0.78848,0.40162,0.87513,0.00021471,0.00021471,0.00021471
90,2556.69,0.74114,0.40322,0.83922,0.96237,0.90504,0.96116,0.74375,0.76377,0.38769,0.87262,0.000198206,0.000198206,0.000198206
91,2610.47,0.71561,0.38761,0.83381,0.95422,0.9153,0.96166,0.74123,0.77527,0.39235,0.87638,0.000181703,0.000181703,0.000181703
92,2638.89,0.71622,0.38032,0.83601,0.97281,0.92458,0.96233,0.74457,0.80059,0.39588,0.88016,0.0001652,0.0001652,0.0001652
93,2666,0.71191,0.38054,0.83437,0.96027,0.91947,0.96414,0.75462,0.77638,0.37363,0.87639,0.000148696,0.000148696,0.000148696
94,2693.8,0.70682,0.38092,0.83465,0.971,0.90742,0.9628,0.74294,0.77073,0.37357,0.87467,0.000132193,0.000132193,0.000132193
95,2720.72,0.69489,0.37135,0.83201,0.95099,0.94732,0.96434,0.74338,0.79223,0.37889,0.87757,0.00011569,0.00011569,0.00011569
96,2747.99,0.69338,0.37444,0.83131,0.95034,0.95044,0.96444,0.74314,0.78133,0.37493,0.87729,9.91865e-05,9.91865e-05,9.91865e-05
97,2776.68,0.69277,0.37335,0.82885,0.95542,0.95138,0.96562,0.74874,0.77542,0.38032,0.87757,8.26832e-05,8.26832e-05,8.26832e-05
98,2805.22,0.68366,0.36186,0.82899,0.95319,0.95131,0.96407,0.75689,0.78147,0.37476,0.87781,6.61799e-05,6.61799e-05,6.61799e-05
99,2834.25,0.68185,0.36293,0.83021,0.95143,0.95095,0.96346,0.75544,0.78209,0.37508,0.87787,4.96766e-05,4.96766e-05,4.96766e-05
100,2863.13,0.67757,0.36386,0.82573,0.95352,0.94857,0.96402,0.74705,0.78887,0.37083,0.87956,3.31733e-05,3.31733e-05,3.31733e-05
